O3,NO,SO2,PM10
27,112,13,34
27,126,13,29
15,90,21,33
9,470,44,101
20,167,48,30
8,211,16,44
5,434,54,109
12,50,22,25
18,192,44,75
7,199,46,76
19,76,18,29
26,38,21,33
25,190,10,23
11,132,18,42
25,34,5,18
30,108,14,51
20,104,22,28
22,159,32,51
18,172,20,41
30,163,21,29
24,93,8,25
35,84,3,20
20,166,24,49
26,152,13,34
35,72,18,40
30,96,16,26
31,52,12,39
24,45,23,41
29,63,9,26
18,81,16,40
24,107,6,21
19,178,58,102
14,58,120,36
21,67,57,45
5,129,26,45
10,149,19,38
9,351,28,64
8,62,79,36
14,59,53,46
32,20,21,34
33,29,22,99
23,242,59,93
5,188,44,95
6,141,46,67
7,94,116,89
8,90,133,95
23,40,24,54
15,108,35,80
8,27,18,59
14,136,9,37
9,141,85,59
6,261,35,90
23,32,23,44
6,155,23,35
22,148,13,39
6,223,52,84
9,89,57,46
7,335,32,85
19,164,25,177
5,162,47,69
4,66,59,48
7,64,87,36
8,102,9,41
10,118,57,71
4,87,89,44
20,49,11,17
31,49,24,34
33,176,6,24
35,159,21,37
26,143,15,34
35,347,24,76
23,113,15,38
30,112,6,24
9,385,29,81
6,338,31,89
19,115,12,47
29,141,19,45
7,248,44,100
23,77,3,29
23,56,7,36
18,230,17,62
7,310,43,89
5,143,25,80
4,104,31,94
4,139,29,47
22,60,19,31
15,95,28,26
33,113,24,41
34,150,22,54
35,73,15,25
28,85,14,39
26,191,31,56
31,26,13,22
28,10,21,20
30,149,12,22
33,115,15,34
15,568,32,106
8,530,69,106
30,167,19,48
24,89,17,32
25,49,12,27
29,121,14,35
25,126,12,39
9,273,35,50
10,226,36,49
28,185,5,15
26,119,10,12
32,27,43,18
31,129,12,36
37,62,9,16
37,159,10,24
29,44,19,26
33,11,34,15
32,39,66,43
10,435,54,113
8,115,41,41
11,254,26,55
25,57,11,29
10,111,27,40
26,138,7,20
35,119,7,28
36,130,14,25
25,78,38,33
27,119,30,35
22,174,19,42
27,108,18,27
27,59,28,37
34,37,7,32
31,90,33,36
39,144,16,40
27,126,86,42
26,110,24,29
34,46,29,25
37,58,13,19
35,128,7,25
33,131,20,39
24,344,50,98
30,44,21,21
24,398,48,71
25,74,16,26
24,39,6,18
30,192,57,76
34,119,24,19
36,157,23,36
28,288,37,77
34,116,19,36
26,104,7,28
24,98,14,28
27,182,10,39
39,125,6,35
38,71,13,40
15,82,32,31
15,95,43,26
23,105,36,33
32,41,14,25
33,117,18,36
24,148,18,36
26,134,12,27
33,168,14,26
32,143,10,35
30,142,15,40
28,105,19,36
36,145,16,22
29,189,15,44
18,257,29,66
23,54,16,40
26,64,11,29
26,167,18,30
35,28,23,59
13,119,15,21
21,126,11,26
12,109,9,44
7,330,24,76
5,206,12,58
14,119,8,24
18,306,10,56
9,158,19,27
9,40,39,42
4,60,22,42
6,135,40,77
3,228,21,84
12,230,14,53
30,68,7,18
25,55,7,19
22,53,7,20
27,87,5,21
4,363,40,84
3,197,20,68
13,153,18,70
20,66,12,24
31,86,9,29
23,136,10,36
10,57,13,24
10,70,13,25
3,61,84,40
2,110,59,36
5,47,59,43
2,82,44,55
2,65,45,35
1,78,12,36
22,95,8,35
27,60,3,17
